Accession Number,Author,Title,Edition,Volume,Pages,Publisher,Year,ISBN
FIC 000287,Alex Michaelides,The Silent Patient,,,"325",Celadon Books,2019,978-1250301697
FIC 000288,Lucy Foley,The Guest List,,,"368",HarperCollins,2020,978-0062868930
FIC 000289,Matt Haig,The Midnight Library,,,"304",Viking,2020,978-0525559474
FIC 000290,Ken Kesey,One Flew Over the Cuckoo's Nest,,,"320",Viking Press,1962,978-0451163960
FIC 000291,Susan Hill,The Woman in Black,,,"208",Doubleday,1983,978-0099570773
FIC 000292,Louise Penny,Bury Your Dead,,,"405",Minotaur Books,2010,978-0312570736
FIC 000293,Stephen King,It,,,"1138",Viking Penguin,1986,978-0450411434
FIC 000294,Jeffrey Archer,Kane and Abel,,,"512",Macmillan,1979,978-0317119835
FIC 000295,Susan Collins,The Hunger Games,,,"374",Scholastic,2008,978-0439023481
FIC 000296,Ken Follett,World Without End,,,"1000",Dutton,2007,978-0452295268
FIC 000297,David Baldacci,The Last Mile,,,"390",Grand Central Publishing,2016,978-1455582284
FIC 000298,John Green,Looking for Alaska,,,"221",Dutton Books,2005,978-0525475065
FIC 000299,Cormac McCarthy,The Road,,,"287",Alfred A. Knopf,2006,978-0307387899
FIC 000300,Neil Gaiman,Coraline,,,"162",HarperCollins,2002,978-0061139376
FIC 000301,George Orwell,1984,,,"328",Harcourt Brace Jovanovich,1949,978-0451524935
FIC 000302,Harper Lee,To Kill a Mockingbird,,,"281",J.B. Lippincott & Co.,1960,978-0060935467
FIC 000303,Stephen King,The Shining,,,"447",Doubleday,1977,978-0385121673
FIC 000304,Mary Shelley,Frankenstein,,,"280",Penguin Classics,1818,978-0486282114
FIC 000305,Jane Austen,Emma,,,"474",John Murray,1815,978-1503290211
FIC 000306,F. Scott Fitzgerald,The Great Gatsby,,,"180",Charles Scribner's Sons,1925,978-0743273565
FIC 000307,Ernest Hemingway,The Old Man and the Sea,,,"127",Charles Scribner's Sons,1952,978-0684801223
FIC 000308,Louise Penny,Still Life: Chief Inspector Armand Gamache Novel,,,"306",St. Martin's Press,2005,978-0312541538
FIC 000309,George R.R. Martin,Game of Thrones,,,"694",Bantam Books,1996,978-0553103540
FIC 000310,Agatha Christie,And Then There Were None,,,"272",Collins,1939,978-0062073488
FIC 000311,Rick Riordan,The Titan's Curse,,,"312",Disney-Hyperion,2007,978-1423101469
FIC 000312,John Green,The Fault in Our Stars,,,"313",Dutton Books,2012,978-0525478812
FIC 000313,Paulo Coelho,The Alchemist,,,"208",HarperOne,1988,978-0061122415
FIC 000314,Emily Brontë,Wuthering Heights,,,"340",Thomas Cautley Newby,1847,978-0141439556
FIC 000315,Victor Hugo,Les Misérables,,,"1463",Signet Classics,1862,978-0451419439
FIC 000316,Charles Dickens,A Tale of Two Cities,,,"341",Chapman and Hall,1859,978-1853260419
FIC 000317,Haruki Murakami,Norwegian Wood,,,"296",Vintage International,2000,978-0375704024
FIC 000318,Toni Morrison,Beloved,,,"324",Alfred A. Knopf,1987,978-1400033416
FIC 000319,Raymond Carver,What We Talk About When We Talk About Love,,,"228",Vintage Contemporaries,1989,978-0804114162
FIC 000320,Erin Morgenstern,The Night Circus,,,"387",Doubleday,2011,978-0385534635
FIC 000321,Stephen King,It,,,"1138",Viking Penguin,1986,978-0450411434
FIC 000322,Dan Brown,The Da Vinci Code,,,"454",Doubleday,2003,978-0307474278
FIC 000323,Oscar Wilde,The Picture of Dorian Gray,,,"254",Ward, Lock & Co.,1890,978-0486278070
FIC 000324,James Clear,Atomic Habits,,,"320",Penguin Random House,2018,978-0735211292
FIC 000325,Markus Zusak,The Book Thief,,,"552",Knopf,2005,978-0375842207
FIC 000326,Colleen Hoover,It Ends with Us,,,"384",Atria Books,2016,978-1501110368
FIC 000327,Katherine Applegate,The One and Only Ivan,,,"336",HarperCollins,2012,978-0061992254
FIC 000328,George Orwell,Animal Farm,,,"112",Secker & Warburg,1945,978-0451526342
FIC 000329,Marissa Meyer,The Lunar Chronicles: Cinder,,,"390",Feiwel & Friends,2012,978-1250007203
FIC 000330,Isaac Asimov,Fahrenheit 451,,,"256",Del Rey,1953,978-1451673319
FIC 000331,Chuck Palahniuk,Fight Club,,,"208",W.W. Norton & Company,1996,978-0393337779
FIC 000332,Mark Haddon,The Curious Incident of the Dog in the Night-Time,,,"226",Doubleday,2003,978-1400032716
FIC 000333,Jeffrey Archer,Only Time Will Tell,,,"332",St. Martin's Press,1982,978-0312971073
FIC 000334,John Grisham,The Pelican Brief,,,"432",Doubleday,1992,978-0385413494
FIC 000335,J.K. Rowling,Harry Potter and the Prisoner of Azkaban,,,"435",Scholastic Inc.,1999,978-0439136358
FIC 000336,George Orwell,1984,,,"328",Harcourt Brace Jovanovich,1949,978-0451524935
FIC 000337,Agatha Christie,Murder on the Orient Express,,,"256",Collins Crime Club,1934,978-0062693650
FIC 000338,Suzanne Collins,The Hunger Games,,,"384",Scholastic Inc.,2008,978-0439023481
FIC 000339,Taylor Jenkins Reid,The Seven Husbands of Evelyn Hugo,,,"400",Atria Books,2017,978-1501139239
FIC 000340,Stephen King,The Dark Tower: The Gunslinger,,,"320",Grant,1982,978-0452284767
FIC 000341,J.R.R. Tolkien,The Lord of the Rings: The Fellowship of the Ring,,,"423",Houghton Mifflin Harcourt,1954,978-0547928227
FIC 000342,George R.R. Martin,A Game of Thrones,,,"694",Bantam Books,1996,978-0553103540
FIC 000343,Susan Collins,Catching Fire,,,"391",Scholastic Press,2009,978-0439023498
FIC 000344,Khaled Hosseini,The Kite Runner,,,"371",Riverhead Books,2003,978-1594480003
FIC 000345,Paulo Coelho,The Alchemist,,,"208",HarperOne,1988,978-0061122415
FIC 000346,Dan Brown,The Lost Symbol,,,"509",Doubleday,2009,978-0385504225
FIC 000347,Rick Riordan,The Sea of Monsters,,,"279",Disney-Hyperion,2006,978-1423103349
FIC 000348,John Green,Looking for Alaska,,,"221",Dutton Books,2005,978-0525475065
FIC 000349,Jojo Moyes,Me Before You,,,"369",Penguin Books,2012,978-0143124542
FIC 000350,George R.R. Martin,The Winds of Winter,,,"1292",Bantam Books,2020,978-0553103541
FIC 000351,Susan Collins,Mockingjay,,,"390",Scholastic Press,2010,978-0439023511
FIC 000352,Louise Penny,Bury Your Dead,,,"405",Minotaur Books,2010,978-0312570736
FIC 000353,John Grisham,The Firm,,,"464",Doubleday,1991,978-0385416341
FIC 000354,Neil Gaiman,The Sandman Vol. 1: Preludes and Nocturnes,,1st,,320,DC Comics,1991,978-1563890119
FIC 000355,Kurt Vonnegut,Slaughterhouse-Five,,,"275",Dell Publishing,1969,978-0385333849
FIC 000356,Isabel Allende,The House of the Spirits,,,"473",Random House,1982,978-1501117032
FIC 000357,Haruki Murakami,1Q84,,,"928",Alfred A. Knopf,2009,978-0307473748
FIC 000358,Marissa Meyer,Scarlet (Lunar Chronicles),,,"454",Feiwel & Friends,2013,978-1250007203
FIC 000359,Sharon M. Draper,Out of My Mind,,,"320",Atheneum Books,2010,978-1416971719
FIC 000360,Louise Penny,The Long Way Home,,,"336",Minotaur Books,2014,978-0312655479
FIC 000361,Douglas Adams,The Hitchhiker's Guide to the Galaxy,,,"224",Del Rey,1979,978-0345391803
FIC 000362,Amy Tan,The Joy Luck Club,,,"288",Putnam,1989,978-0143038092
FIC 000363,Charlotte Brontë,Shirley,,,"510",Smith, Elder & Co.,1849,978-1503282221
FIC 000364,John Irving,The World According to Garp,,,"437",E.P. Dutton,1978,978-0452295279
FIC 000365,J.K. Rowling,Harry Potter and the Goblet of Fire,,,"734",Scholastic Inc.,2000,978-0439139601
FIC 000366,Joanne Harris,Chocolat,,,"307",Viking Penguin,1999,978-0142001058
FIC 000367,Suzanne Collins,The Hunger Games,,,"384",Scholastic Inc.,2008,978-0439023481
FIC 000368,George Orwell,1984,,,"328",Harcourt Brace Jovanovich,1949,978-0451524935
FIC 000369,Jane Austen,Persuasion,,,"252",John Murray,1818,978-1503291775
FIC 000370,Agatha Christie,The Murder of Roger Ackroyd,,,"274",Collins Crime Club,1926,978-0062073532
FIC 000371,Suzanne Collins,Catching Fire,,,"391",Scholastic Press,2009,978-0439023498
FIC 000372,Dan Brown,Inferno,,,"480",Doubleday,2013,978-0385537858
FIC 000373,George Orwell,Animal Farm,,,"112",Secker & Warburg,1945,978-0451526342
FIC 000374,Chimamanda Ngozi Adichie,Americanah,,,"477",Knopf,2013,978-0307271082
FIC 000375,John Green,An Abundance of Katherines,,,"228",Dutton Books,2006,978-0525476888
FIC 000376,David Foster Wallace,Infinite Jest,,,"1079",Little, Brown and Company,1996,978-0316066525
FIC 000377,Neil Gaiman,Good Omens,,,"412",Gollancz,1990,978-0060853976
FIC 000378,Arthur Conan Doyle,The Adventures of Sherlock Holmes,,,"307",George Newnes,1892,978-1853262352
FIC 000379,Raymond Chandler,The Big Sleep,,,"231",Alfred A. Knopf,1939,978-0394758284
FIC 000380,Harlan Coben,The Stranger,,,"405",Dutton,2015,978-0451414625
FIC 000381,Daphne du Maurier,Rebecca,,,"416",Victor Gollancz Ltd.,1938,978-0380730407
FIC 000382,Jojo Moyes,After You,,,"368",Pamela Dorman Books,2015,978-0399562455
FIC 000383,Michelle Obama,Becoming,,,"448",Crown Publishing Group,2018,978-1524763138
FIC 000384,Leigh Bardugo,Shadow and Bone,,,"368",Henry Holt and Co.,2012,978-1250023199
FIC 000385,J.K. Rowling,Harry Potter and the Half-Blood Prince,,,"672",Scholastic Inc.,2005,978-0439785969
FIC 000386,Erin Bow,Plain Kate,,,"314",Scholastic Inc.,2012,978-0-545-16665-2
FIC 000387,Stephen King,The Stand,,,"1152",Doubleday,1978,978-0385121673
FIC 000388,Ken Follett,The Pillars of the Earth,,,"1064",Penguin Books,1989,978-0451166890
FIC 000389,George R.R. Martin,The Clash of Kings,,,"768",Bantam Books,1998,978-0553108033
FIC 000390,Charles Dickens,Great Expectations,,,"486",Chapman & Hall,1861,978-0141439563
FIC 000391,Paulo Coelho,The Zahir,,,"368",HarperCollins,2005,978-0060561315
FIC 000392,Isaac Asimov,Foundation,,,"255",Gnome Press,1951,978-0553293357
FIC 000393,George Orwell,1984,,,"328",Harcourt Brace Jovanovich,1949,978-0451524935
FIC 000394,Ernest Cline,Ready Player One,,,"384",Crown Publishing Group,2011,978-0307887443
FIC 000395,Raymond Carver,Where I'm Calling From,,,"250",Vintage Contemporaries,1988,978-0804114674
FIC 000396,Suzanne Collins,Mockingjay,,,"390",Scholastic Press,2010,978-0439023511
FIC 000397,Louise Penny,The Murder Stone,,,"440",Minotaur Books,2006,978-0312542115
FIC 000398,John Grisham,The Street Lawyer,,,"370",Doubleday,1997,978-0385496549
FIC 000399,Emily Henry,People We Meet on Vacation,,,"368",Berkley,2021,978-1984806734
FIC 000400,Rick Riordan,The Red Pyramid,,,"516",Hyperion,2010,978-1423113459
FIC 000401,Louise Penny,The Brutal Telling,,,"384",Minotaur Books,2009,978-0312377010
FIC 000402,Agatha Christie,Death on the Nile,,,"320",Collins,1937,978-0062073563
FIC 000403,Stephen King,The Institute,,,"576",Scribner,2019,978-1982102319
FIC 000404,Douglas Adams,So Long, and Thanks for All the Fish,,,"208",Del Rey,1984,978-0345391827
FIC 000405,Jojo Moyes,The Giver of Stars,,,"400",Pamela Dorman Books,2019,978-0399562486
FIC 000406,J.K. Rowling,Harry Potter and the Deathly Hallows,,,"759",Scholastic Inc.,2007,978-0545139700
FIC 000407,Susan Cain,Quiet: The Power of Introverts in a World That Can't Stop Talking,,,"368",Crown Publishing Group,2012,978-0307352156
FIC 000408,Colleen Hoover,Verity,,,"333",Grand Central Publishing,2018,978-1401984354
FIC 000409,Mitch Albom,The Five People You Meet in Heaven,,,"196",Hyperion,2003,978-0786868711
FIC 000410,Rick Riordan,The Mark of Athena,,,"496",Disney-Hyperion,2012,978-1423140609
FIC 000411,J.R.R. Tolkien,The Two Towers,,,"352",Houghton Mifflin Harcourt,1954,978-0618129121
FIC 000412,Haruki Murakami,The Wind-Up Bird Chronicle,,,"605",Vintage Books,1994,978-0679775430
FIC 000413,Ray Bradbury,Fahrenheit 451,,,"256",Del Rey,1953,978-1451673319
FIC 000414,Paulo Coelho,Brida,,,"320",HarperOne,2006,978-0061144993
FIC 000415,George Orwell,Homage to Catalonia,,,"224",Secker & Warburg,1938,978-0156764350
FIC 000416,Tami Hoag,The Alibi Man,,,"448",Bantam,2005,978-0553802387
FIC 000417,Elena Ferrante,My Brilliant Friend,,,"332",Europa Editions,2012,978-1609450786
FIC 000418,Harper Lee,Go Set a Watchman,,,"278",HarperCollins,2015,978-0062409850
FIC 000419,Paulo Coelho,Veronika Decides to Die,,,"213",HarperCollins,1998,978-0061627634
FIC 000420,Diane Setterfield,The Thirteenth Tale,,,"406",Atria Books,2006,978-0743298039
FIC 000421,Leigh Bardugo,Siege and Storm,,,"435",Henry Holt and Co.,2013,978-1250044485
FIC 000422,Suzanne Collins,The Hunger Games,,,"384",Scholastic Inc.,2008,978-0439023481
FIC 000423,Dan Brown,Deception Point,,,"372",Doubleday,2001,978-0385504416
FIC 000424,Daphne du Maurier,The Scapegoat,,,"432",Victor Gollancz Ltd.,1957,978-0380730407
FIC 000425,Richard Adams,Watership Down,,,"494",Rex Collings,1972,978-1784874654
FIC 000426,Stephen King,Doctor Sleep,,,"531",Scribner,2013,978-1451698854
FIC 000427,George Orwell,1984,,,"328",Harcourt Brace Jovanovich,1949,978-0451524935
FIC 000428,Michael Ende,The Neverending Story,,,"544",Reclam,1979,978-0156012195
FIC 000429,Louise Penny,The Beautiful Mystery,,,"400",Minotaur Books,2012,978-0312380164
FIC 000430,Tom Clancy,The Hunt for Red October,,,"432",Naval Institute Press,1984,978-0425207988
FIC 000431,Megan Miranda,The Last House Guest,,,"320",Simon & Schuster,2019,978-1501165407
FIC 000432,Ken Follett,World Without End,,,"1024",Penguin Books,2007,978-0452295262
FIC 000433,Rick Riordan,The Heroes of Olympus: The Lost Hero,,,"576",Disney-Hyperion,2010,978-1423113374
FIC 000434,Amy Tan,The Valley of Amazement,,,"544",Ecco,2013,978-0062107326
FIC 000435,Laura Hillenbrand,Unbroken: A World War II Story of Survival, Resilience and Redemption,,,"528",Random House,2010,978-1400064168
FIC 000436,George R.R. Martin,A Dance with Dragons,,,"1056",Bantam Books,2011,978-0553801472
FIC 000437,J.K. Rowling,The Casual Vacancy,,,"512",Little, Brown and Company,2012,978-0316228534
FIC 000438,Isabel Allende,Of Love and Shadows,,,"288",HarperCollins,1984,978-1501117858
FIC 000439,Dan Brown,Angels & Demons,,,"576",Doubleday,2000,978-0385504201
FIC 000440,Agatha Christie,The ABC Murders,,,"272",Collins Crime Club,1936,978-0062073532
FIC 000441,Haruki Murakami,Colorless Tsukuru Tazaki and His Years of Pilgrimage,,,"386",Knopf,2014,978-0385352137
FIC 000442,Tess Gerritsen,The Surgeon,,,"336",Ballantine Books,2001,978-0345480833
FIC 000443,Rick Riordan,The Battle of the Labyrinth,,,"361",Disney-Hyperion,2008,978-1423101469
FIC 000444,Barbara Kingsolver,The Poisonwood Bible,,,"546",HarperFlamingo,1998,978-0061577079
FIC 000445,Stephen King,The Dead Zone,,,"426",Viking Press,1979,978-0451183805
FIC 000446,Mary Shelley,Frankenstein,,,"280",Penguin Classics,1818,978-0486282114
FIC 000447,Jeffrey Archer,Not a Penny More, Not a Penny Less,,,"224",Hodder & Stoughton,1976,978-0316913194
FIC 000448,Louise Penny,How the Light Gets In,,,"400",Minotaur Books,2013,978-1250036344
FIC 000449,Ken Follett,The Fall of Giants,,,"985",Dutton Adult,2010,978-0452295263
FIC 000450,Joseph Heller,Catch-22,,,"453",Simon & Schuster,1961,978-1451626650
FIC 000451,Louise Penny,The Long Way Home,,,"336",Minotaur Books,2014,978-0312655479
FIC 000452,Dan Brown,The Lost Symbol,,,"509",Doubleday,2009,978-0385504225
FIC 000453,J.K. Rowling,The Cuckoo's Calling,,,"464",Sphere,2013,978-0316334754
FIC 000454,Stephen King,The Green Mile,,,"400",Signet,1996,978-0452277476
FIC 000455,George Orwell,Animal Farm,,,"112",Secker & Warburg,1945,978-0451526342
FIC 000456,Haruki Murakami,Kafka on the Shore,,,"480",Alfred A. Knopf,2005,978-1400079278
FIC 000457,Marie Lu,Legend,,,"305",Putnam Juvenile,2011,978-0399160419
FIC 000458,Colleen Hoover,It Ends with Us,,,"384",Atria Books,2016,978-1501110368
FIC 000459,Sarah J. Maas,Throne of Glass,,,"416",Bloomsbury,2012,978-1619630349
FIC 000460,James Patterson,Along Came a Spider,,,"448",Little, Brown and Company,1993,978-0316969406
FIC 000461,John Green,Looking for Alaska,,,"221",Dutton Books,2005,978-0525475065
FIC 000462,Dan Brown,Inferno,,,"480",Doubleday,2013,978-0385537858
FIC 000463,Jodi Picoult,My Sister's Keeper,,,"423",Atria Books,2003,978-0743454537
FIC 000464,Haruki Murakami,1Q84,,,"928",Alfred A. Knopf,2009,978-0307593313
FIC 000465,David Mitchell,Cloud Atlas,,,"509",Random House,2004,978-0385508896
FIC 000466,Barbara Kingsolver,The Lacuna,,,"533",HarperCollins,2009,978-0060852559
FIC 000467,Philip Pullman,The Golden Compass,,,"399",Alfred A. Knopf,1995,978-0679879241
FIC 000468,J.R.R. Tolkien,The Fellowship of the Ring,,,"423",Houghton Mifflin,1954,978-0618129121
FIC 000469,Suzanne Collins,The Hunger Games,,,"384",Scholastic Inc.,2008,978-0439023481
FIC 000470,Liane Moriarty,Big Little Lies,,,"460",Amy Einhorn Books,2014,978-0399165063
FIC 000471,Daphne du Maurier,The House on the Strand,,,"359",Victor Gollancz,1969,978-0380730407
FIC 000472,George Orwell,Homage to Catalonia,,,"224",Secker & Warburg,1938,978-0156764350
FIC 000473,David Baldacci,Memory Man,,,"480",Grand Central Publishing,2015,978-1455521202
FIC 000474,Stephen King,Salem's Lot,,,"439",Doubleday,1975,978-0451166517
FIC 000475,Robert Louis Stevenson,Treasure Island,,,"240",Penguin Classics,1883,978-0141439198
FIC 000476,Raymond Chandler,The Long Goodbye,,,"320",Houghton Mifflin Harcourt,1953,978-0394758284
FIC 000477,Richard Bach,Jonathan Livingston Seagull,,,"96",Macmillan,1970,978-0020198037
FIC 000478,Louise Penny,The Nature of the Beast,,,"352",Minotaur Books,2015,978-1250022062
FIC 000479,Ken Follett,The Key to Rebecca,,,"496",Signet,1980,978-0451165381
FIC 000480,Marissa Meyer,Winter,,,"832",Feiwel & Friends,2015,978-1250062783
FIC 000481,John Green,An Abundance of Katherines,,,"272",Dutton Books,2006,978-0525476888
FIC 000482,George Orwell,Down and Out in Paris and London,,,"224",Secker & Warburg,1933,978-0451531566
FIC 000483,Marie Kondo,The Life-Changing Magic of Tidying Up,,,"224",Ten Speed Press,2011,978-1607747307
FIC 000484,Jojo Moyes,Me Before You,,,"369",Penguin Books,2012,978-0143124542
FIC 000485,Agatha Christie,Murder on the Orient Express,,,"288",Collins Crime Club,1934,978-0062693662
FIC 000486,Stephen King,The Stand,,,"1152",Doubleday,1978,978-0385199575
FIC 000487,J.R.R. Tolkien,The Return of the King,,,"416",Houghton Mifflin,1955,978-0618129121
FIC 000488,Tana French,In the Woods,,,"429",Viking,2007,978-0670038602
FIC 000489,Mitch Albom,The Time Keeper,,,"272",Hyperion,2012,978-0061791788
FIC 000490,Dan Brown,The Da Vinci Code,,,"489",Doubleday,2003,978-0307474278
FIC 000491,Neil Gaiman,American Gods,,,"465",William Morrow,2001,978-0380789030
FIC 000492,Marissa Meyer,Scarlet,,,"454",Feiwel & Friends,2013,978-1250007214
FIC 000493,J.K. Rowling,Cormoran Strike Series Boxed Set,,,"1600",Mulholland Books,2015,978-0316334778
FIC 000494,Cheryl Strayed,Wild: From Lost to Found on the Pacific Crest Trail,,,"336",Vintage Books,2012,978-0307476074
FIC 000495,Daphne du Maurier,Rebecca,,,"464",Doubleday,1938,978-0380730407
FIC 000496,Haruki Murakami,After Dark,,,"304",Alfred A. Knopf,2004,978-0307390288
FIC 000497,Jane Austen,Emma,,,"474",Oxford University Press,1815,978-0199535516
FIC 000498,David Nicholls,One Day,,,"437",Vintage,2009,978-1405247527
FIC 000499,John Grisham,The Firm,,,"464",Doubleday,1991,978-0385416349
FIC 000500,Louise Penny,The Inspector Gamache Series Boxed Set,,,"3300",Minotaur Books,2014,978-1250043181
